id	pointName	xsect(pb)
5001	pMSSM12_MCMC1_31_925672	0.01057
5002	pMSSM12_MCMC1_47_209183	1.203
5003	pMSSM12_MCMC1_30_713735	0.01012
5004	pMSSM12_MCMC1_16_828024	0.4899
5007	pMSSM12_MCMC1_21_247534	0.002167
5008	pMSSM12_MCMC1_21_993925	0.08173
5009	pMSSM12_MCMC1_40_653188	0.263
5010	pMSSM12_MCMC1_41_883882	0.06479
5011	pMSSM12_MCMC1_21_904012	0.000577
5013	pMSSM12_MCMC1_14_897276	0.09833
5014	pMSSM12_MCMC1_4_699476	0.01355
5015	pMSSM12_MCMC1_2_462004	0.02021
5016	pMSSM12_MCMC1_12_568511	0.007662
5017	pMSSM12_MCMC1_20_637405	0.03729
5018	pMSSM12_MCMC1_45_329119	0.02492
5019	pMSSM12_MCMC1_9_971447	0.0639
5020	pMSSM12_MCMC1_28_453746	0.1813
5021	pMSSM12_MCMC1_31_336906	0.002306
5022	pMSSM12_MCMC1_30_500074	1.716
5023	pMSSM12_MCMC1_40_303222	0.1032
5024	pMSSM12_MCMC1_7_218658	0.04385
5025	pMSSM12_MCMC1_45_390864	0.0207
5027	pMSSM12_MCMC1_40_633438	0.008564
5028	pMSSM12_MCMC1_9_641224	0.4171
5029	pMSSM12_MCMC1_4_385790	0.0004314
5030	pMSSM12_MCMC1_43_466422	0.2761
5031	pMSSM12_MCMC1_37_663465	0.8683
5032	pMSSM12_MCMC1_39_813128	0.05354
5033	pMSSM12_MCMC1_28_587573	6.212
5034	pMSSM12_MCMC1_4_204412	0.0586
5037	pMSSM12_MCMC1_39_833222	2.069
5038	pMSSM12_MCMC1_20_934327	0.02159
5039	pMSSM12_MCMC1_23_490153	0.005273
5040	pMSSM12_MCMC1_31_813954	0.0002243
5041	pMSSM12_MCMC1_38_486694	0.01124
5042	pMSSM12_MCMC1_32_533439	0.1587
5045	pMSSM12_MCMC1_42_395514	1.075
5046	pMSSM12_MCMC1_2_456724	2.71
5048	pMSSM12_MCMC1_14_196123	0.00144
5049	pMSSM12_MCMC1_14_352795	0.04751
5050	pMSSM12_MCMC1_44_553052	0.1319
5051	pMSSM12_MCMC1_5_883872	0.1839
5052	pMSSM12_MCMC1_20_564564	0.006132
5053	pMSSM12_MCMC1_41_590298	0.00464
5054	pMSSM12_MCMC1_7_720088	0.01172
5055	pMSSM12_MCMC1_23_839746	0.1992
5056	pMSSM12_MCMC1_37_354627	0.004414
5058	pMSSM12_MCMC1_7_283934	0.007658
5059	pMSSM12_MCMC1_8_443794	0.1173
5060	pMSSM12_MCMC1_14_748636	0.003274
5061	pMSSM12_MCMC1_41_243378	0.002787
5062	pMSSM12_MCMC1_23_357139	0.1197
5063	pMSSM12_MCMC1_23_359777	0.8073
5064	pMSSM12_MCMC1_29_783746	0.7525
5065	pMSSM12_MCMC1_5_603700	0.9314
5066	pMSSM12_MCMC1_8_951771	0.005214
5067	pMSSM12_MCMC1_5_541486	4.422
5069	pMSSM12_MCMC1_8_458182	2.476
5070	pMSSM12_MCMC1_21_740554	4.037
5071	pMSSM12_MCMC1_48_514118	0.02925
5072	pMSSM12_MCMC1_31_721469	0.002147
5073	pMSSM12_MCMC1_32_257899	1.264
5074	pMSSM12_MCMC1_6_904638	0.4499
5075	pMSSM12_MCMC1_40_579993	0.02596
5076	pMSSM12_MCMC1_16_412565	0.02178
5078	pMSSM12_MCMC1_23_347652	0.9545
5079	pMSSM12_MCMC1_3_427153	3.211e-05
5080	pMSSM12_MCMC1_45_446106	0.006872
5081	pMSSM12_MCMC1_30_420440	0.002068
5083	pMSSM12_MCMC1_24_254970	0.08754
