id	pointName	xsect(pb)
2501	pMSSM12_MCMC1_19_567815	0.5327
2502	pMSSM12_MCMC1_30_614219	0.0003591
2503	pMSSM12_MCMC1_16_335911	0.4156
2504	pMSSM12_MCMC1_10_455494	0.1862
2508	pMSSM12_MCMC1_42_596324	0.0004849
2509	pMSSM12_MCMC1_1_361604	0.4259
2510	pMSSM12_MCMC1_25_600076	0.0006767
2511	pMSSM12_MCMC1_29_614035	0.00516
2513	pMSSM12_MCMC1_29_339993	0.02947
2515	pMSSM12_MCMC1_19_482296	0.06477
2516	pMSSM12_MCMC1_37_701350	0.184
2517	pMSSM12_MCMC1_34_424064	0.1526
2519	pMSSM12_MCMC1_27_233242	4.237
2520	pMSSM12_MCMC1_19_740400	0.03729
2521	pMSSM12_MCMC1_41_842071	0.04025
2525	pMSSM12_MCMC1_5_500265	0.1318
2526	pMSSM12_MCMC1_8_224369	0.2478
2527	pMSSM12_MCMC1_48_244531	0.1037
2529	pMSSM12_MCMC1_36_576444	2.653
2530	pMSSM12_MCMC1_11_284569	1567.0
2532	pMSSM12_MCMC1_31_928805	0.0004719
2533	pMSSM12_MCMC1_48_541407	0.02572
2535	pMSSM12_MCMC1_26_314079	0.0009704
2536	pMSSM12_MCMC1_2_529379	0.00138
2537	pMSSM12_MCMC1_13_294693	0.03119
2538	pMSSM12_MCMC1_26_695935	27.86
2539	pMSSM12_MCMC1_38_595290	0.3261
2540	pMSSM12_MCMC1_22_560019	44.21
2541	pMSSM12_MCMC1_32_356262	1.845
2542	pMSSM12_MCMC1_34_741590	3.169e-05
2543	pMSSM12_MCMC1_24_314670	0.24
2545	pMSSM12_MCMC1_39_511551	0.005895
2546	pMSSM12_MCMC1_21_637681	0.1908
2549	pMSSM12_MCMC1_20_813116	0.001013
2550	pMSSM12_MCMC1_45_474608	0.005151
2552	pMSSM12_MCMC1_40_945825	0.05535
2553	pMSSM12_MCMC1_37_544857	0.002171
2555	pMSSM12_MCMC1_28_538577	0.286
2557	pMSSM12_MCMC1_42_543845	0.04505
2558	pMSSM12_MCMC1_15_400152	0.00591
2559	pMSSM12_MCMC1_25_714585	0.01171
2560	pMSSM12_MCMC1_36_624587	1.225
2561	pMSSM12_MCMC1_3_765396	0.005704
2563	pMSSM12_MCMC1_44_806333	0.1572
2564	pMSSM12_MCMC1_7_354268	0.05009
2566	pMSSM12_MCMC1_44_539368	0.06937
2567	pMSSM12_MCMC1_25_981065	0.0006018
2568	pMSSM12_MCMC1_9_239245	0.2079
2569	pMSSM12_MCMC1_31_432041	0.6288
2570	pMSSM12_MCMC1_21_834213	0.07252
2571	pMSSM12_MCMC1_36_523055	0.02602
