id	pointName	xsect(pb)
7503	pMSSM12_MCMC1_44_552623	0.08495
7504	pMSSM12_MCMC1_3_394000	0.3238
7505	pMSSM12_MCMC1_46_779479	0.4489
7506	pMSSM12_MCMC1_39_316461	1.441
7507	pMSSM12_MCMC1_15_984524	1.621
7509	pMSSM12_MCMC1_9_869881	1.325
7510	pMSSM12_MCMC1_27_771793	0.2571
7511	pMSSM12_MCMC1_27_674907	0.008371
7512	pMSSM12_MCMC1_25_346158	1.574
7514	pMSSM12_MCMC1_34_492232	0.04745
7515	pMSSM12_MCMC1_27_383027	0.1152
7516	pMSSM12_MCMC1_40_908131	2778.0
7518	pMSSM12_MCMC1_38_690750	19.56
7519	pMSSM12_MCMC1_7_380370	0.1107
7520	pMSSM12_MCMC1_41_685744	0.02206
7525	pMSSM12_MCMC1_28_935120	0.2513
7526	pMSSM12_MCMC1_22_841786	0.03243
7527	pMSSM12_MCMC1_22_231739	2.443
7529	pMSSM12_MCMC1_14_984893	0.00748
7530	pMSSM12_MCMC1_16_952237	0.2828
7531	pMSSM12_MCMC1_14_337599	0.08231
7532	pMSSM12_MCMC1_20_701132	1.878
7533	pMSSM12_MCMC1_28_853673	0.4912
7534	pMSSM12_MCMC1_10_240513	0.6748
7535	pMSSM12_MCMC1_33_502548	0.05685
7537	pMSSM12_MCMC1_44_197231	0.1148
7538	pMSSM12_MCMC1_17_508887	1.778
7539	pMSSM12_MCMC1_39_224502	0.1659
7541	pMSSM12_MCMC1_6_617779	0.0751
7542	pMSSM12_MCMC1_16_595803	0.000714
7543	pMSSM12_MCMC1_36_400799	32.26
7544	pMSSM12_MCMC1_48_456424	0.0002529
7545	pMSSM12_MCMC1_5_868674	0.0006956
7546	pMSSM12_MCMC1_24_319068	1.456
7547	pMSSM12_MCMC1_24_260936	0.5407
7548	pMSSM12_MCMC1_32_373010	0.02108
7549	pMSSM12_MCMC1_1_366313	0.07982
7550	pMSSM12_MCMC1_23_342231	2.192
7551	pMSSM12_MCMC1_37_249381	8.895e-05
7554	pMSSM12_MCMC1_47_959518	0.05288
7555	pMSSM12_MCMC1_32_662004	0.0006894
7556	pMSSM12_MCMC1_32_816293	0.5741
7557	pMSSM12_MCMC1_28_932054	0.001127
7558	pMSSM12_MCMC1_7_430749	0.7536
7559	pMSSM12_MCMC1_46_903412	0.004509
7561	pMSSM12_MCMC1_33_463699	0.9241
7562	pMSSM12_MCMC1_22_377096	0.279
7565	pMSSM12_MCMC1_24_953214	0.02285
7567	pMSSM12_MCMC1_39_714583	0.0125
7568	pMSSM12_MCMC1_34_647047	6.533
7570	pMSSM12_MCMC1_12_958242	0.0742
7571	pMSSM12_MCMC1_34_891252	0.03415
7572	pMSSM12_MCMC1_25_959859	1.788
7573	pMSSM12_MCMC1_15_795317	0.002613
7575	pMSSM12_MCMC1_9_307951	2.724
7577	pMSSM12_MCMC1_23_961419	0.1332
7579	pMSSM12_MCMC1_1_414874	0.02345
7581	pMSSM12_MCMC1_39_496119	0.8787
7582	pMSSM12_MCMC1_43_639123	0.0002952
7584	pMSSM12_MCMC1_15_189876	0.02863
7586	pMSSM12_MCMC1_37_638092	0.01278
7588	pMSSM12_MCMC1_28_888532	0.1649
7589	pMSSM12_MCMC1_28_448381	0.005475
7590	pMSSM12_MCMC1_11_973166	0.1151
7592	pMSSM12_MCMC1_42_595792	0.002211
7593	pMSSM12_MCMC1_5_468302	0.122
7595	pMSSM12_MCMC1_27_429710	0.5371
7596	pMSSM12_MCMC1_5_621176	0.001714
7597	pMSSM12_MCMC1_45_679937	0.04176
7599	pMSSM12_MCMC1_48_590000	0.1475
7601	pMSSM12_MCMC1_26_700419	0.009146
7602	pMSSM12_MCMC1_28_562571	7.718e-05
7603	pMSSM12_MCMC1_32_912537	0.2516
7604	pMSSM12_MCMC1_40_998965	0.04103
7605	pMSSM12_MCMC1_41_903507	0.00265
7606	pMSSM12_MCMC1_34_904916	0.2936
7607	pMSSM12_MCMC1_21_518855	13.4
7608	pMSSM12_MCMC1_48_633882	0.004304
7610	pMSSM12_MCMC1_17_539549	0.03604
7611	pMSSM12_MCMC1_9_731864	6.903
7612	pMSSM12_MCMC1_15_797033	0.9399
7613	pMSSM12_MCMC1_22_209306	0.1436
7614	pMSSM12_MCMC1_37_212195	0.139
7615	pMSSM12_MCMC1_7_886422	0.0008885
7617	pMSSM12_MCMC1_8_364971	0.00381
7618	pMSSM12_MCMC1_38_986472	0.07262
7620	pMSSM12_MCMC1_36_581359	0.005049
7621	pMSSM12_MCMC1_23_919058	0.07965
7622	pMSSM12_MCMC1_48_983108	0.1783
7623	pMSSM12_MCMC1_4_718200	0.06901
7624	pMSSM12_MCMC1_48_473771	0.05599
7626	pMSSM12_MCMC1_15_883079	0.3838
7627	pMSSM12_MCMC1_21_516433	0.05012
7628	pMSSM12_MCMC1_4_462576	1.659
7629	pMSSM12_MCMC1_45_225706	0.01593
7630	pMSSM12_MCMC1_9_783722	0.008469
7631	pMSSM12_MCMC1_12_437716	0.09473
7632	pMSSM12_MCMC1_16_360334	0.0059
7633	pMSSM12_MCMC1_39_280266	0.00538
7634	pMSSM12_MCMC1_40_255559	0.01346
7636	pMSSM12_MCMC1_25_657022	0.1695
7639	pMSSM12_MCMC1_31_650290	0.044
7640	pMSSM12_MCMC1_44_925303	0.1456
7641	pMSSM12_MCMC1_38_930410	0.0697
7642	pMSSM12_MCMC1_42_404605	0.0005179
7644	pMSSM12_MCMC1_7_982457	0.0005475
7647	pMSSM12_MCMC1_43_411806	0.5775
7648	pMSSM12_MCMC1_30_549323	0.008413
7649	pMSSM12_MCMC1_32_485523	0.06564
7650	pMSSM12_MCMC1_32_790155	899.3
7652	pMSSM12_MCMC1_41_564786	0.26
7653	pMSSM12_MCMC1_8_974452	780.5
7654	pMSSM12_MCMC1_18_706740	0.001507
7656	pMSSM12_MCMC1_45_784644	1.119
7657	pMSSM12_MCMC1_3_428433	0.0008787
7661	pMSSM12_MCMC1_48_421119	0.04791
7662	pMSSM12_MCMC1_37_899700	0.001244
7664	pMSSM12_MCMC1_22_510894	0.9961
7665	pMSSM12_MCMC1_14_888947	0.02543
7666	pMSSM12_MCMC1_27_522082	0.1292
7667	pMSSM12_MCMC1_6_920272	0.002862
7668	pMSSM12_MCMC1_19_785362	0.1089
7669	pMSSM12_MCMC1_33_343347	0.3489
7671	pMSSM12_MCMC1_5_302112	3.233
7672	pMSSM12_MCMC1_3_209919	0.005835
7673	pMSSM12_MCMC1_5_852749	0.01685
7674	pMSSM12_MCMC1_8_290207	0.1307
7676	pMSSM12_MCMC1_30_227199	0.06601
7678	pMSSM12_MCMC1_18_665640	0.1929
7680	pMSSM12_MCMC1_40_990245	0.01667
7681	pMSSM12_MCMC1_42_836503	0.001355
7684	pMSSM12_MCMC1_37_604900	0.03253
7685	pMSSM12_MCMC1_7_750561	0.02607
7686	pMSSM12_MCMC1_34_829417	0.08778
7687	pMSSM12_MCMC1_10_514051	0.5085
7688	pMSSM12_MCMC1_37_357664	0.995
7689	pMSSM12_MCMC1_13_683058	0.04755
7691	pMSSM12_MCMC1_21_332604	0.007065
7692	pMSSM12_MCMC1_24_472731	0.04942
7694	pMSSM12_MCMC1_4_743726	0.01436
7696	pMSSM12_MCMC1_32_834963	1.922
7697	pMSSM12_MCMC1_28_900990	0.06031
7699	pMSSM12_MCMC1_17_938179	0.193
7700	pMSSM12_MCMC1_25_944889	0.06263
7703	pMSSM12_MCMC1_3_429111	0.07087
7704	pMSSM12_MCMC1_5_799046	0.002502
7705	pMSSM12_MCMC1_19_418883	1.077
7706	pMSSM12_MCMC1_17_220765	0.0005574
7707	pMSSM12_MCMC1_42_382426	9.091
7708	pMSSM12_MCMC1_13_585860	0.09261
7710	pMSSM12_MCMC1_12_854813	0.00761
7711	pMSSM12_MCMC1_28_413457	0.02124
7713	pMSSM12_MCMC1_1_872938	0.01435
7714	pMSSM12_MCMC1_43_899291	0.01831
7715	pMSSM12_MCMC1_6_789883	0.03695
7717	pMSSM12_MCMC1_30_690898	2.251
7718	pMSSM12_MCMC1_5_282783	0.06956
7723	pMSSM12_MCMC1_46_772103	0.04071
7726	pMSSM12_MCMC1_8_702320	0.5524
7728	pMSSM12_MCMC1_34_415248	0.01008
7729	pMSSM12_MCMC1_24_836042	0.06493
7730	pMSSM12_MCMC1_15_703700	0.5346
7731	pMSSM12_MCMC1_12_667283	0.4533
7733	pMSSM12_MCMC1_36_239062	0.0543
7734	pMSSM12_MCMC1_28_442585	0.002219
7739	pMSSM12_MCMC1_38_489740	0.05148
7740	pMSSM12_MCMC1_32_597774	0.06244
7741	pMSSM12_MCMC1_40_223011	36.11
7743	pMSSM12_MCMC1_2_856441	0.0007395
7744	pMSSM12_MCMC1_25_278420	1.807
7745	pMSSM12_MCMC1_15_849250	1.23
7746	pMSSM12_MCMC1_43_307872	0.2031
7747	pMSSM12_MCMC1_25_753311	0.5963
7749	pMSSM12_MCMC1_19_279782	0.06579
7750	pMSSM12_MCMC1_8_719167	12.99
7751	pMSSM12_MCMC1_6_736512	0.2441
7752	pMSSM12_MCMC1_7_370243	0.04744
7754	pMSSM12_MCMC1_47_869647	0.0005754
7755	pMSSM12_MCMC1_12_919118	0.1545
7756	pMSSM12_MCMC1_21_324744	0.1721
7757	pMSSM12_MCMC1_8_401629	0.07526
7759	pMSSM12_MCMC1_46_987987	0.03058
7760	pMSSM12_MCMC1_18_284429	0.5791
7761	pMSSM12_MCMC1_25_615286	0.004599
7763	pMSSM12_MCMC1_37_305763	0.01879
7764	pMSSM12_MCMC1_40_350380	2.093
7765	pMSSM12_MCMC1_25_574249	0.365
7767	pMSSM12_MCMC1_3_621898	0.005478
7768	pMSSM12_MCMC1_8_785636	0.00603
7769	pMSSM12_MCMC1_43_904069	0.06056
7770	pMSSM12_MCMC1_25_536108	0.03351
7771	pMSSM12_MCMC1_45_496804	0.0004842
7772	pMSSM12_MCMC1_37_641529	0.03379
7774	pMSSM12_MCMC1_11_404953	0.03445
7775	pMSSM12_MCMC1_7_372991	9.873
7778	pMSSM12_MCMC1_24_299009	3.692e-05
7779	pMSSM12_MCMC1_9_239655	0.0108
7781	pMSSM12_MCMC1_23_871012	0.181
7782	pMSSM12_MCMC1_40_326115	0.2588
7783	pMSSM12_MCMC1_24_267021	0.854
7784	pMSSM12_MCMC1_33_414556	0.1797
7785	pMSSM12_MCMC1_11_675754	0.1107
7786	pMSSM12_MCMC1_46_375534	0.002571
7787	pMSSM12_MCMC1_14_592324	1.009
7788	pMSSM12_MCMC1_13_680526	4.261
7789	pMSSM12_MCMC1_16_322489	0.4054
7790	pMSSM12_MCMC1_44_565683	0.003631
7791	pMSSM12_MCMC1_16_910599	0.02393
7792	pMSSM12_MCMC1_46_513112	0.01403
7793	pMSSM12_MCMC1_3_906997	0.5242
7794	pMSSM12_MCMC1_22_938998	1.436
7795	pMSSM12_MCMC1_3_767629	0.2084
7797	pMSSM12_MCMC1_1_655712	0.3882
7798	pMSSM12_MCMC1_46_787469	0.1524
7799	pMSSM12_MCMC1_40_586958	0.354
7800	pMSSM12_MCMC1_23_366403	0.9537
7801	pMSSM12_MCMC1_4_636695	0.002229
7802	pMSSM12_MCMC1_21_648519	39.97
7805	pMSSM12_MCMC1_34_698659	359.4
7807	pMSSM12_MCMC1_38_430123	0.1026
7809	pMSSM12_MCMC1_15_670342	0.1013
7810	pMSSM12_MCMC1_46_448106	0.6906
7812	pMSSM12_MCMC1_30_439629	0.003698
7814	pMSSM12_MCMC1_12_705890	1.876
7815	pMSSM12_MCMC1_24_932924	18.77
7816	pMSSM12_MCMC1_14_243121	1.059
7817	pMSSM12_MCMC1_30_339916	0.02205
7819	pMSSM12_MCMC1_2_689213	0.05378
7820	pMSSM12_MCMC1_44_551176	3.531
7821	pMSSM12_MCMC1_11_406875	0.9761
7822	pMSSM12_MCMC1_37_503642	0.2283
7823	pMSSM12_MCMC1_7_734428	10.44
7824	pMSSM12_MCMC1_4_584378	0.08346
7826	pMSSM12_MCMC1_40_845101	1.822
7827	pMSSM12_MCMC1_20_492183	0.001965
7828	pMSSM12_MCMC1_47_544283	0.0001085
7829	pMSSM12_MCMC1_15_707280	0.01895
7830	pMSSM12_MCMC1_32_868936	0.1406
7832	pMSSM12_MCMC1_31_919639	0.009892
7834	pMSSM12_MCMC1_33_674631	0.4366
7835	pMSSM12_MCMC1_48_897565	0.8225
7836	pMSSM12_MCMC1_29_840908	3.187
7837	pMSSM12_MCMC1_25_391454	0.007161
7838	pMSSM12_MCMC1_10_363665	0.1937
7840	pMSSM12_MCMC1_23_385437	0.2638
7841	pMSSM12_MCMC1_5_579431	0.2851
7842	pMSSM12_MCMC1_36_672576	0.07892
7843	pMSSM12_MCMC1_5_943919	0.1328
7845	pMSSM12_MCMC1_27_801119	0.6553
7846	pMSSM12_MCMC1_24_591238	0.2602
7847	pMSSM12_MCMC1_29_437440	0.2273
7848	pMSSM12_MCMC1_36_474071	3.902e-05
7849	pMSSM12_MCMC1_39_809415	1.86
7850	pMSSM12_MCMC1_21_826308	0.005318
7851	pMSSM12_MCMC1_33_247227	1.373
7852	pMSSM12_MCMC1_4_591208	0.09684
7853	pMSSM12_MCMC1_8_842349	0.02258
7854	pMSSM12_MCMC1_14_778265	0.0409
7855	pMSSM12_MCMC1_12_700249	0.2133
7858	pMSSM12_MCMC1_7_905944	0.007127
7859	pMSSM12_MCMC1_9_706995	0.03421
7861	pMSSM12_MCMC1_37_748030	0.0004897
7862	pMSSM12_MCMC1_23_966261	0.188
7864	pMSSM12_MCMC1_38_323199	0.01986
7867	pMSSM12_MCMC1_48_621646	0.04244
7869	pMSSM12_MCMC1_28_295260	0.02343
7871	pMSSM12_MCMC1_2_430722	0.2
7872	pMSSM12_MCMC1_15_570143	0.08906
7873	pMSSM12_MCMC1_12_225367	0.4686
7874	pMSSM12_MCMC1_37_621410	0.002038
7875	pMSSM12_MCMC1_27_840913	1.242
7876	pMSSM12_MCMC1_13_179841	0.1041
7879	pMSSM12_MCMC1_25_826845	0.052
7880	pMSSM12_MCMC1_13_751634	0.03477
7882	pMSSM12_MCMC1_8_936715	0.001003
7883	pMSSM12_MCMC1_46_553711	3.512
7886	pMSSM12_MCMC1_42_801548	1.397
7887	pMSSM12_MCMC1_41_279174	0.1425
7889	pMSSM12_MCMC1_46_812320	0.8238
7890	pMSSM12_MCMC1_39_956461	0.0001483
7891	pMSSM12_MCMC1_46_603279	0.4274
7892	pMSSM12_MCMC1_38_659840	0.5442
7893	pMSSM12_MCMC1_22_320273	0.003256
7894	pMSSM12_MCMC1_30_855472	0.4299
7896	pMSSM12_MCMC1_45_409775	2.181
7897	pMSSM12_MCMC1_42_197993	0.1905
7898	pMSSM12_MCMC1_14_294662	0.01617
7899	pMSSM12_MCMC1_32_223630	0.1758
7900	pMSSM12_MCMC1_20_823627	235.4
7902	pMSSM12_MCMC1_30_973109	0.1468
7903	pMSSM12_MCMC1_27_573949	0.01557
7904	pMSSM12_MCMC1_5_322915	1.992
7905	pMSSM12_MCMC1_45_452618	0.03172
7906	pMSSM12_MCMC1_30_221272	0.003069
7907	pMSSM12_MCMC1_48_441486	0.7809
7908	pMSSM12_MCMC1_31_308817	0.6171
7914	pMSSM12_MCMC1_13_300662	0.01847
7915	pMSSM12_MCMC1_25_913660	0.1932
7916	pMSSM12_MCMC1_5_408873	6.602
7917	pMSSM12_MCMC1_22_366824	0.02499
7918	pMSSM12_MCMC1_36_228516	0.005018
7919	pMSSM12_MCMC1_3_623881	0.3358
